t,T
0,0
0.021836228,2070.157068
0.035483871,1931.937173
0.051861042,2148.691099
0.07369727,2368.586387
0.090074442,2506.806283
0.136476427,2651.308901
0.182878412,2629.319372
0.262034739,2610.471204
0.365756824,2616.753927
0.565012407,2626.17801
1.389330025,2575.91623
1.64044665,2541.361257
1.987096774,2453.403141
2.2,2396.858639
2.459305211,2296.335079
2.710421836,2208.376963
2.835980149,2164.397906
2.936972705,2089.005236
3.040694789,1991.623037
3.111662531,1803.141361
3.177171216,1595.811518
3.310918114,1338.219895
3.452853598,1014.659686
3.592059553,709.947644
3.701240695,603.1413613
3.815880893,461.7801047
3.998759305,339.2670157
4.116129032,201.0471204
4.203473945,87.95811518
4.304466501,0
